time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-07-30T02:39:05.400Z,31.3971,35.4781,13,4.2,mb,,,,0.88,us,us10002w9d,2022-07-31T21:34:42.730Z,"24 km NNE of ‘En Boqeq, Israel",earthquake,2.5,3.4,0.124,18,reviewed,gii,us
2018-07-04T01:50:08.350Z,32.786,35.4363,10,4.0,mb,,101.0,0.23,0.99,us,us2000fwfr,2018-09-27T14:03:39.040Z,"1 km N of Giv‘at Avni, Israel",earthquake,6.9,2.0,0.116,20,reviewed,us,us
2018-07-04T19:45:40.040Z,32.7972,35.4438,10,4.7,mb,,69.0,0.22,0.82,us,us2000fx3m,2018-09-27T14:03:40.040Z,"2 km NNE of Giv‘at Avni, Israel",earthquake,5.5,1.9,0.055,101,reviewed,us,us
2018-07-22T06:41:25.380Z,32.7988,35.6371,10,2.9,mb_lg,,161.0,0.709,0.73,us,us2000gb36,2018-10-04T14:15:29.040Z,"9 km E of Tiberias, Israel",earthquake,4.8,2.0,0.228,5,reviewed,us,us
2018-07-27T08:51:19.030Z,32.8353,35.5216,10,2.9,mb_lg,,110.0,0.752,0.52,us,us2000gf18,2018-10-09T16:43:26.040Z,"1 km ESE of Migdal, Israel",earthquake,4.7,2.0,0.208,6,reviewed,us,us
2020-12-15T02:30:09.935Z,29.5749,34.9527,10,3.9,mb,,148.0,1.802,0.74,us,us7000cr5v,2021-02-20T16:12:09.040Z,"1 km NNE of Eilat, Israel",earthquake,10.1,2.0,0.181,8,reviewed,us,us
2021-06-15T23:08:52.705Z,30.2013,35.0504,10,4.1,mb,,108.0,0.536,1.0,us,us7000eddk,2021-11-29T12:11:20.088Z,"40 km W of A? ?ayyibah, Jordan",earthquake,7.5,2.0,0.107,24,reviewed,us,us
2022-01-22T21:36:54.822Z,32.6069,35.494,10,4.1,mb,,158.0,1.912,0.64,us,us7000geaf,2022-04-09T20:18:51.040Z,"4 km E of Taiyiba, Israel",earthquake,9.3,2.0,0.157,11,reviewed,us,us
2022-01-23T10:28:07.151Z,32.6567,35.4637,10,3.7,ml,,222.0,1.857,0.33,us,us7000gefv,2022-04-09T20:18:53.040Z,"4 km ENE of Kafr Mi?r, Israel",earthquake,11.7,2.0,0.128,8,reviewed,us,us
2023-02-07T21:14:28.432Z,32.0866,35.2415,10,4.1,mb,11.0,171.0,3.281,0.41,us,us6000jmcs,2023-04-15T21:39:45.040Z,Dead Sea region,earthquake,11.71,1.998,0.301,4,reviewed,us,us
